epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26865,nan,nan,nan,0,0,0,0,nan,nan,nan,0,0,0
2,11.8662,nan,nan,nan,0,0,0,0,nan,nan,nan,1.9208e-05,1.9208e-05,1.9208e-05
3,15.3663,nan,nan,nan,0,0,0,0,nan,nan,nan,3.6832e-05,3.6832e-05,3.6832e-05
4,18.8171,nan,nan,nan,0,0,0,0,nan,nan,nan,5.2872e-05,5.2872e-05,5.2872e-05
5,22.4163,nan,nan,nan,0,0,0,0,nan,nan,nan,6.7328e-05,6.7328e-05,6.7328e-05
6,26.0099,nan,nan,nan,0,0,0,0,nan,nan,nan,8.02e-05,8.02e-05,8.02e-05
7,29.6601,nan,nan,nan,0,0,0,0,nan,nan,nan,9.1488e-05,9.1488e-05,9.1488e-05
8,33.3179,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000101192,0.000101192,0.000101192
9,36.8898,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000109312,0.000109312,0.000109312
10,40.383,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000115848,0.000115848,0.000115848
11,43.8776,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001208,0.0001208,0.0001208
12,47.5513,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000124168,0.000124168,0.000124168
13,51.7348,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000125952,0.000125952,0.000125952
14,55.8703,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000126152,0.000126152,0.000126152
15,59.8884,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000124768,0.000124768,0.000124768
16,70.6994,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0001218,0.0001218,0.0001218
17,75.4861,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000117248,0.000117248,0.000117248
18,80.3273,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000111112,0.000111112,0.000111112
